,experiment,timestep,mean episodic runtime,mean episodic length,length per episode,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,145200,0.040722,200.0,11,-864.94757,-1017.856639,-756.64448,76.537702,65
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,147400,0.038583,200.0,11,-832.338048,-1195.01849,-630.285456,136.61396,66
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,149600,0.039866,200.0,11,-770.241898,-973.560138,-627.961022,100.149014,67
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,151800,0.037168,200.0,11,-793.486906,-868.58965,-750.817115,46.658651,68
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,154000,0.03654,200.0,11,-746.990401,-1022.890342,-615.43252,125.560962,69
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,156200,0.037148,200.0,11,-782.47209,-877.898078,-627.663047,72.082523,70
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,158400,0.040526,200.0,11,-822.685792,-1060.555205,-634.723121,110.672727,71
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,160600,0.038692,200.0,11,-826.990188,-982.958627,-629.276416,100.276344,72
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,162800,0.037944,200.0,11,-815.05149,-1150.898672,-629.015854,148.418271,73
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,165000,0.037377,200.0,11,-770.619825,-925.796298,-626.07992,105.213478,74
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,167200,0.04518,200.0,11,-841.608034,-1102.166267,-615.505628,144.089124,75
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,169400,0.039731,200.0,11,-792.966342,-957.665539,-717.556394,68.975885,76
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,171600,0.038577,200.0,11,-818.10771,-1010.453727,-633.64453,117.092836,77
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,173800,0.038543,200.0,11,-680.818049,-1003.856772,-498.595183,131.414846,78
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,176000,0.038953,200.0,11,-721.326028,-880.247765,-611.01674,98.75295,79
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,178200,0.03991,200.0,11,-757.318448,-1097.076035,-379.658594,176.331931,80
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,180400,0.03719,200.0,11,-688.156607,-969.009765,-506.239263,144.8009,81
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,182600,0.036314,200.0,11,-724.971328,-960.927942,-494.928122,136.342801,82
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,184800,0.037752,200.0,11,-755.8919,-991.836327,-497.220917,121.650023,83
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,187000,0.040214,200.0,11,-745.181161,-986.186112,-514.521521,142.014087,84
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,189200,0.037117,200.0,11,-600.596611,-739.813205,-408.868073,93.566864,85
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,191400,0.036642,200.0,11,-612.883347,-746.801042,-502.607843,84.021849,86
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,193600,0.037386,200.0,11,-564.181113,-741.228042,-380.080123,115.451067,87
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,195800,0.040248,200.0,11,-640.168396,-804.390168,-388.54461,114.999939,88
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,198000,0.03828,200.0,11,-548.266348,-820.857662,-376.298237,121.016698,89
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,200200,0.03682,200.0,11,-574.303179,-840.528714,-130.709393,192.270148,90
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,202400,0.037183,200.0,11,-453.313057,-864.657213,-128.074109,181.77861,91
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,204600,0.039614,200.0,11,-436.862494,-648.305699,-368.719295,101.839726,92
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,206800,0.039119,200.0,11,-408.187556,-755.568001,-251.735092,177.615833,93
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,209000,0.037061,200.0,11,-346.003397,-647.662805,-128.96588,155.561319,94
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,211200,0.038395,200.0,11,-394.596922,-638.45347,-243.183141,128.593333,95
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,213400,0.0394,200.0,11,-398.008484,-628.110287,-124.07803,159.506281,96
0,exp_name: Pendulum-v1_2023-01-28 ppo_continuous,215600,0.039242,200.0,11,-227.51064,-494.223482,-1.753238,125.324961,97
