,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",693000,0.035607,200.0,11,-1499.39801,-1537.888266,-1431.488514,32.301843
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",695200,0.03997,200.0,11,-1471.14318,-1512.091977,-1392.274029,37.030716
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",697400,0.038168,200.0,11,-1448.810451,-1527.888648,-1367.958894,50.714804
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",699600,0.036613,200.0,11,-1470.841729,-1529.253311,-1352.775899,56.539509
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",701800,0.035057,200.0,11,-1478.823277,-1539.09098,-1390.292532,48.391057
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",704000,0.035078,200.0,11,-1456.656554,-1524.193552,-1331.656052,57.785165
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",706200,0.036833,200.0,11,-1487.031558,-1528.661998,-1453.38967,23.073568
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",708400,0.037876,200.0,11,-1494.263552,-1522.632075,-1465.754018,18.150357
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",710600,0.035323,200.0,11,-1483.206002,-1517.378948,-1403.910201,31.197203
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",712800,0.035372,200.0,11,-1457.340051,-1517.082065,-1350.57348,55.096165
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",715000,0.037246,200.0,11,-1475.55436,-1530.046295,-1385.477218,44.734592
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",717200,0.035308,200.0,11,-1491.179452,-1531.178253,-1418.234193,34.65909
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",719400,0.037577,200.0,11,-1479.731376,-1535.192108,-1381.687703,41.643493
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",721600,0.036656,200.0,11,-1471.469328,-1537.608039,-1381.46468,49.443743
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",723800,0.035256,200.0,11,-1477.260307,-1520.870967,-1406.119544,35.191308
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",726000,0.034969,200.0,11,-1475.096828,-1523.330793,-1423.796987,31.713189
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",728200,0.035472,200.0,11,-1471.867163,-1523.94643,-1350.691995,46.549259
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",730400,0.036525,200.0,11,-1480.010344,-1517.988764,-1419.925323,28.871932
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",732600,0.037958,200.0,11,-1485.066848,-1523.571056,-1407.97427,37.798017
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",734800,0.034834,200.0,11,-1483.106572,-1519.546362,-1424.626558,36.148819
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",737000,0.034989,200.0,11,-1484.845743,-1522.803592,-1407.41696,37.954579
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",739200,0.035216,200.0,11,-1440.24432,-1506.771794,-1364.854247,45.184757
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",741400,0.035585,200.0,11,-1484.913214,-1517.80145,-1391.363991,36.560134
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",743600,0.040066,200.0,11,-1442.889715,-1500.309916,-1281.535705,55.200716
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",745800,0.037918,200.0,11,-1437.761569,-1518.096997,-1249.868301,73.797019
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",748000,0.035662,200.0,11,-1474.17061,-1529.511939,-1298.311179,67.843957
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",750200,0.035352,200.0,11,-1443.0697,-1524.728816,-1307.778344,59.559254
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",752400,0.036461,200.0,11,-1465.446032,-1513.499205,-1360.230252,45.137785
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",754600,0.03854,200.0,11,-1446.398787,-1514.363038,-1335.057362,59.568198
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",756800,0.039981,200.0,11,-1470.73228,-1517.480528,-1369.790704,52.128643
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",759000,0.034895,200.0,11,-1431.480221,-1520.69203,-1252.444247,71.57537
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",761200,0.035331,200.0,11,-1470.015712,-1512.914611,-1384.09225,40.639833
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",763400,0.037291,200.0,11,-1450.899778,-1513.915574,-1346.692964,58.577749
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",765600,0.038648,200.0,11,-1489.572482,-1529.128236,-1406.471077,37.822228
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",767800,0.040178,200.0,11,-1465.569481,-1517.549362,-1370.110584,46.462575
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",770000,0.039305,200.0,11,-1467.140439,-1519.184083,-1392.119646,39.424706
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",772200,0.040122,200.0,11,-1436.987032,-1512.443498,-1332.538417,66.753438
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",774400,0.036975,200.0,11,-1476.018782,-1519.490226,-1383.678087,48.433896
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",776600,0.037633,200.0,11,-1449.385252,-1511.713272,-1338.206355,54.13564
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",778800,0.038129,200.0,11,-1445.449122,-1496.072568,-1318.062931,56.887052
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",781000,0.035662,200.0,11,-1447.114934,-1510.359214,-1314.320441,61.141675
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",783200,0.03597,200.0,11,-1458.748679,-1517.709771,-1378.975203,48.759749
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",785400,0.034983,200.0,11,-1493.43807,-1523.043351,-1412.865053,32.666821
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",787600,0.035908,200.0,11,-1494.610259,-1517.643479,-1432.905023,26.123615
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD actor-critic advantage, normalize ret)",789800,0.038674,200.0,11,-1461.9482,-1520.632216,-1226.550293,79.479105
