,mean episodic length,mean episodic rewards,timestep
0,200.0,-1007.7285736990567,613600
0,200.0,-1000.2484284084175,616200
0,200.0,-948.8185169126967,618800
0,200.0,-1007.7018479618941,621400
0,200.0,-1084.4309323222142,624000
0,200.0,-987.4681459363752,626600
0,200.0,-960.7132101293129,629200
0,200.0,-1019.7490154725167,631800
0,200.0,-944.1778528686896,634400
0,200.0,-991.7788019730924,637000
0,200.0,-1007.8966173396154,639600
0,200.0,-1060.2816962715892,642200
0,200.0,-1015.9996301538403,644800
0,200.0,-1034.9962750436127,647400
0,200.0,-937.6553559604795,650000
0,200.0,-914.5907537908649,652600
0,200.0,-1048.692249823203,655200
0,200.0,-992.5184319344238,657800
0,200.0,-965.2572859396527,660400
0,200.0,-1042.9348604693341,663000
0,200.0,-1027.8175466524926,665600
0,200.0,-949.3484017668932,668200
0,200.0,-1030.3244053302537,670800
0,200.0,-965.0911841550175,673400
0,200.0,-1012.6437120213458,676000
0,200.0,-955.5011964308399,678600
0,200.0,-910.1792281282844,681200
0,200.0,-946.2586069156712,683800
0,200.0,-1021.1424271550379,686400
0,200.0,-1012.1389703937386,689000
0,200.0,-1014.8105053726855,691600
0,200.0,-991.5985018769742,694200
0,200.0,-902.0558768645958,696800
0,200.0,-915.6733615820781,699400
0,200.0,-936.6745522373833,702000
0,200.0,-902.6734817405105,704600
0,200.0,-972.1078411773367,707200
0,200.0,-1050.541949819652,709800
0,200.0,-976.3292034929121,712400
0,200.0,-1003.5628105788353,715000
0,200.0,-944.6704487974152,717600
0,200.0,-955.1467068769741,720200
0,200.0,-984.6542637145467,722800
0,200.0,-897.5946035823852,725400
0,200.0,-939.0250532577779,728000
0,200.0,-953.9369110595128,730600
0,200.0,-1051.95263870634,733200
0,200.0,-1020.8735929153188,735800
0,200.0,-993.5211274206861,738400
0,200.0,-1003.9264113510698,741000
0,200.0,-950.936834057125,743600
0,200.0,-967.414238348043,746200
0,200.0,-982.8751263210613,748800
0,200.0,-843.9097039306796,751400
0,200.0,-994.035361876944,754000
0,200.0,-927.1609896350111,756600
0,200.0,-900.816759922689,759200
0,200.0,-1017.9517776214973,761800
0,200.0,-970.586313514926,764400
0,200.0,-959.0308665153717,767000
0,200.0,-957.4998858852939,769600
0,200.0,-926.0299895745591,772200
0,200.0,-985.9355770177731,774800
0,200.0,-884.9392463813276,777400
0,200.0,-923.409866981665,780000
0,200.0,-923.9500013852826,782600
0,200.0,-940.6883881040851,785200
0,200.0,-1017.177544535977,787800
0,200.0,-919.9886970285954,790400
0,200.0,-905.7001674734901,793000
0,200.0,-1005.3439209201939,795600
0,200.0,-886.9126130168812,798200
0,200.0,-906.0942964175424,800800
0,200.0,-936.3715044028987,803400
0,200.0,-1028.3580260217777,806000
0,200.0,-953.3226815248082,808600
0,200.0,-979.4741959188698,811200
0,200.0,-862.8216181017616,813800
0,200.0,-929.3563695237983,816400
0,200.0,-947.8627660242782,819000
0,200.0,-874.1332480565327,821600
0,200.0,-920.1832579226598,824200
0,200.0,-937.9197379335233,826800
0,200.0,-841.5548144085541,829400
0,200.0,-853.649934793315,832000
0,200.0,-938.2811940027076,834600
0,200.0,-1046.7614749454335,837200
0,200.0,-906.295173906618,839800
0,200.0,-852.8289455254768,842400
0,200.0,-919.5475090134654,845000
