,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
0,0.040363,200.0,-343.7119,-487.926207,-247.072299,75.267046,11,exp_name: Pendulum-v1_2023-01-30 (TEST),62,138600
0,0.040721,200.0,-303.497838,-565.731841,-1.99618,152.149136,11,exp_name: Pendulum-v1_2023-01-30 (TEST),63,140800
0,0.038483,200.0,-303.269601,-509.71983,-116.521048,149.9229,11,exp_name: Pendulum-v1_2023-01-30 (TEST),64,143000
0,0.037644,200.0,-305.875859,-572.867231,-124.174319,153.523771,11,exp_name: Pendulum-v1_2023-01-30 (TEST),65,145200
0,0.03882,200.0,-226.142907,-510.650935,-120.268397,118.623453,11,exp_name: Pendulum-v1_2023-01-30 (TEST),66,147400
0,0.040566,200.0,-203.646229,-256.622694,-1.357064,79.111824,11,exp_name: Pendulum-v1_2023-01-30 (TEST),67,149600
0,0.038081,200.0,-236.776389,-487.021565,-2.297898,120.528267,11,exp_name: Pendulum-v1_2023-01-30 (TEST),68,151800
0,0.039133,200.0,-250.551298,-625.860246,-1.470409,178.393174,11,exp_name: Pendulum-v1_2023-01-30 (TEST),69,154000
0,0.038973,200.0,-286.76345,-554.715371,-1.774748,165.289411,11,exp_name: Pendulum-v1_2023-01-30 (TEST),70,156200
0,0.039713,200.0,-232.68575,-948.496584,-1.230474,238.457315,11,exp_name: Pendulum-v1_2023-01-30 (TEST),71,158400
0,0.039326,200.0,-175.076244,-426.865923,-4.021561,105.681719,11,exp_name: Pendulum-v1_2023-01-30 (TEST),72,160600
0,0.038093,200.0,-212.095652,-483.196675,-1.022032,136.683932,11,exp_name: Pendulum-v1_2023-01-30 (TEST),73,162800
0,0.038181,200.0,-378.24796,-1098.243158,-4.141138,351.927849,11,exp_name: Pendulum-v1_2023-01-30 (TEST),74,165000
0,0.039127,200.0,-637.491464,-1067.482619,-128.14739,363.329206,11,exp_name: Pendulum-v1_2023-01-30 (TEST),75,167200
0,0.039423,200.0,-548.54815,-1070.521907,-3.22549,410.760856,11,exp_name: Pendulum-v1_2023-01-30 (TEST),76,169400
0,0.038152,200.0,-244.405354,-518.054685,-124.736426,130.255479,11,exp_name: Pendulum-v1_2023-01-30 (TEST),77,171600
0,0.040064,200.0,-172.553524,-383.135875,-3.169485,122.742185,11,exp_name: Pendulum-v1_2023-01-30 (TEST),78,173800
