,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
0,0.475525,1024.0,-285.913599,-301.808281,-270.018916,15.894682,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,84.61279106140137,165888
1,0.484935,1024.0,-284.508509,-288.944076,-280.072942,4.435567,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,85.71372294425964,167936
2,0.452242,1024.0,-294.724857,-299.111292,-290.338422,4.386435,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,86.79790115356445,169984
3,0.483152,1024.0,-287.766939,-291.473807,-284.06007,3.706868,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,87.89661192893982,172032
4,0.487299,1024.0,-284.745385,-291.35207,-278.138699,6.606685,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,89.00002598762512,174080
0,0.457897,1024.0,-275.209854,-278.515576,-271.904132,3.305722,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,90.04907298088074,176128
1,0.483378,1024.0,-270.079337,-273.607306,-266.551368,3.527969,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,91.14161419868469,178176
2,0.449951,1024.0,-253.687614,-257.561923,-249.813306,3.874309,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,92.16836905479431,180224
3,0.460217,1024.0,-247.871103,-249.648632,-246.093574,1.777529,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,93.21633911132812,182272
4,0.450649,1024.0,-263.722075,-264.793286,-262.650864,1.071211,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,94.24207806587219,184320
0,0.437373,1024.0,-250.790386,-257.112976,-244.467797,6.32259,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,95.239413022995,186368
1,0.469478,1024.0,-257.942342,-262.082773,-253.801911,4.140431,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,96.30159902572632,188416
2,0.465227,1024.0,-241.9397,-243.326885,-240.552515,1.387185,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,97.35935592651367,190464
3,0.480321,1024.0,-245.411198,-247.631505,-243.190892,2.220306,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,98.45045304298401,192512
4,0.471103,1024.0,-242.516544,-242.623899,-242.409189,0.107355,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,99.52066802978516,194560
0,0.444448,1024.0,-242.109532,-244.86704,-239.352024,2.757508,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,100.53673911094666,196608
1,0.459846,1024.0,-254.687981,-257.234086,-252.141877,2.546105,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,101.58152604103088,198656
2,0.479579,1024.0,-253.442674,-260.822445,-246.062903,7.379771,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,102.66328001022339,200704
3,0.455501,1024.0,-257.552043,-260.760798,-254.343289,3.208754,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,103.70380401611328,202752
4,0.483365,1024.0,-254.124843,-254.973251,-253.276434,0.848409,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,104.8027400970459,204800
0,0.459784,1024.0,-243.658899,-245.031948,-242.285851,1.373049,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,105.85382199287415,206848
1,0.461569,1024.0,-264.902784,-273.015208,-256.790361,8.112424,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,106.90821409225464,208896
2,0.487189,1024.0,-256.245649,-257.392379,-255.098919,1.14673,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,108.00772213935852,210944
3,0.46692,1024.0,-263.678054,-266.245207,-261.110901,2.567153,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,109.06133508682251,212992
4,0.471064,1024.0,-273.676002,-282.421755,-264.930248,8.745753,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,110.12775778770447,215040
0,0.467417,1024.0,-273.345334,-276.815352,-269.875316,3.470018,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,111.19439911842346,217088
