step,mean_reward,max_reward,min_reward,mean_len,max_len,min_len
73763,-97.82137590909089,-92.591353,-102.694757,93.68181818181819,98,89
75805,-97.19254300000001,-91.71248,-101.864702,92.81818181818181,96,90
77858,-92.84094169565218,-88.465179,-97.730734,89.26086956521739,93,86
79926,-93.43939930434782,-89.885008,-99.537862,89.91304347826087,93,87
81938,-90.1085722608696,-86.51901,-93.937958,87.47826086956522,91,85
84020,-89.23171008333333,-84.005781,-92.933878,86.75,89,82
86073,-87.63399091666668,-84.734172,-92.664045,85.54166666666667,88,83
88127,-87.82997991666667,-83.888119,-91.786262,85.58333333333333,89,82
90139,-86.25740375,-83.427962,-89.240751,83.83333333333333,86,81
92233,-86.02588304,-83.720286,-89.013385,83.76,86,82
94219,-84.933779875,-82.223288,-87.127909,82.75,84,81
96281,-84.54239068000001,-82.171689,-87.2332,82.48,84,81
98320,-83.34480372,-81.299309,-86.638429,81.56,84,80
100356,-83.35525888000001,-81.343085,-85.253072,81.44,83,80
102478,-83.39173196153845,-81.413982,-85.545647,81.61538461538461,83,80
104500,-82.48856432000001,-80.897259,-85.918203,80.88,84,80
106516,-82.39627963999999,-80.319922,-84.782347,80.64,83,79
108592,-81.35304234615386,-78.870876,-83.479757,79.84615384615384,82,78
110648,-80.57444588461539,-78.695047,-82.954697,79.07692307692308,81,78
112714,-80.89979261538461,-78.684926,-83.108598,79.46153846153847,81,78
114700,-80.8300824,-78.774353,-83.129821,79.44,81,78
116750,-80.18480653846154,-78.067827,-82.386582,78.84615384615384,80,77
118790,-79.73316261538463,-78.759251,-82.11046,78.46153846153847,80,78
120833,-79.84325503846154,-77.966465,-81.929994,78.57692307692308,80,77
122949,-79.71163714814814,-78.633694,-82.241909,78.37037037037037,80,78
124977,-79.32425430769231,-78.03259,-80.760387,78.0,79,77
126999,-79.1458003076923,-77.969162,-80.519553,77.76923076923077,79,77
129090,-78.86309759259258,-77.827602,-80.500187,77.44444444444444,78,77
131106,-78.9148426923077,-78.019975,-79.98103,77.53846153846153,78,77
133188,-78.61000785185186,-77.116142,-80.319881,77.11111111111111,79,76
135182,-78.15615326923077,-77.105897,-79.653931,76.6923076923077,78,76
137254,-78.29941107407409,-77.004212,-79.893774,76.74074074074075,78,76
139311,-77.82078944444444,-76.70489,-78.995908,76.18518518518519,77,75
141370,-77.96376214814815,-75.863451,-79.1565,76.25925925925925,77,75
143418,-77.42625722222222,-75.753567,-79.008655,75.85185185185185,77,75
145461,-77.28874362962962,-75.678409,-79.057995,75.66666666666667,77,75
147499,-77.2631298148148,-75.100566,-78.220821,75.48148148148148,76,74
149533,-77.15178614814815,-74.96214,-78.382811,75.33333333333333,76,74
151566,-76.90677377777777,-75.86865,-78.229831,75.29629629629629,76,75
153662,-76.38600046428573,-74.957566,-78.287841,74.85714285714286,76,74
155680,-76.14547185185185,-74.755412,-78.199907,74.74074074074075,76,74
157769,-76.04880639285714,-74.743763,-78.145021,74.60714285714286,76,74
159780,-75.97854699999999,-74.855191,-77.610702,74.48148148148148,75,74
161861,-75.79852996428573,-74.830246,-77.388289,74.32142857142857,75,74
163864,-75.51006607407408,-74.879434,-77.398448,74.18518518518519,75,74
165937,-75.50522960714285,-74.92779,-76.792204,74.03571428571429,75,74
168007,-75.53068678571428,-74.003748,-76.144743,73.92857142857143,74,73
169998,-75.26326900000001,-73.958429,-76.425334,73.74074074074075,75,73
172066,-75.4841895357143,-74.047998,-77.341911,73.85714285714286,75,73
174127,-75.14232771428574,-73.981873,-76.116317,73.60714285714286,74,73
176186,-75.05293792857141,-74.037305,-76.05758,73.53571428571429,74,73
178241,-74.81740453571429,-73.967629,-76.018099,73.39285714285714,74,73
180231,-75.35752151851851,-74.108752,-76.134701,73.70370370370371,74,73
182289,-74.98219689285713,-73.99432,-76.111334,73.5,74,73
184343,-74.7744155357143,-73.940926,-76.503645,73.35714285714286,74,73
186398,-74.887648,-74.018978,-76.266182,73.39285714285714,74,73
