rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/std,train/approx_kl,train/entropy_loss,train/clip_fraction
200.0,-154.88982511,3041,638000,209,290,0.0003,0.8108517271785863,0.005569963237004621,2890,0.13404668867588043,0.9972379959654063,0.2,0.26338839530944824,0.018335136,-0.08659858737673078,0.14555059527712208
200.0,-152.50699238999997,3051,640200,209,291,0.0003,6.932699784764222,-0.0014182909657912595,2900,0.5813125967979431,0.9879299122840166,0.2,0.26241976022720337,0.0068537113,-0.08339898926871163,0.07220238097012042
200.0,-153.92648047000003,3062,642400,209,292,0.0003,2.2573212005730188,0.005171011951086777,2910,0.36715322732925415,0.9906730707734823,0.2,0.2618248760700226,0.024581676,-0.0789800592831203,0.17516369072454316
200.0,-158.86763515,3072,644600,209,293,0.0003,0.8798519620352557,0.006187017794166292,2920,0.018874820321798325,0.994277342222631,0.2,0.2673370838165283,0.00893317,-0.08885731765202114,0.19936011912567275
200.0,-163.78789968,3083,646800,209,294,0.0003,2.389999374832426,-0.0023120982672220894,2930,0.557439923286438,0.9950606171041727,0.2,0.26992514729499817,0.0040671756,-0.10420955726078579,0.07072916670569351
200.0,-160.99625479,3093,649000,209,295,0.0003,2.727181022465229,0.00037666881190879007,2940,1.5587921142578125,0.9943954218178988,0.2,0.2653689384460449,0.0058540846,-0.10264336960656302,0.08052083336881229
200.0,-160.39434101,3103,651200,209,296,0.0003,1.5202607119961509,0.005327374002497111,2950,0.27963897585868835,0.9899800661951303,0.2,0.2683412432670593,0.008609816,-0.09506640604564122,0.10058035724929401
200.0,-155.60282504,3114,653400,209,297,0.0003,3.5432467691068137,-0.003940058946609497,2960,0.16165317595005035,0.9964123433455825,0.2,0.2665938138961792,0.009279773,-0.10091933965682984,0.1754613096160548
200.0,-158.86249964,3124,655600,209,298,0.0003,0.27054296715451137,0.008873437704252345,2970,0.18063880503177643,0.9988566203974187,0.2,0.2721589505672455,0.027369121,-0.1094929381779262,0.20974702385919436
200.0,-154.39779904,3135,657800,209,299,0.0003,5.203379835646067,-0.0027258449719686595,2980,0.31918439269065857,0.991977171972394,0.2,0.2721191644668579,0.01806331,-0.11752019711903164,0.13656250009579318
200.0,-155.90693303,3145,660000,209,300,0.0003,0.8086712109403951,0.004129701596227408,2990,0.3013209104537964,0.9975856733508408,0.2,0.26798033714294434,0.016123377,-0.10935213531766619,0.126235119083098
200.0,-158.22513346000002,3156,662200,209,301,0.0003,0.8217832629914794,0.00013053538277745246,3000,0.28790393471717834,0.9989936219062656,0.2,0.26601266860961914,0.016880756,-0.09873444625309535,0.16413690493575164
200.0,-153.39786325,3166,664400,209,302,0.0003,5.579601010744061,-0.0008589452039450407,3010,0.15008196234703064,0.99165840446949,0.2,0.2654710114002228,0.0057143006,-0.0941268025125776,0.11113095240933554
200.0,-151.12790700000002,3177,666600,209,303,0.0003,1.429875931846244,0.0035877907675291813,3020,0.010636996477842331,0.9970505237579346,0.2,0.26614245772361755,0.01049086,-0.09453437975474767,0.1469345239017691
200.0,-152.59688863,3187,668800,209,304,0.0003,0.9681697322188744,0.0014190871647692153,3030,0.07490881532430649,0.9951915848068893,0.2,0.2653551399707794,0.007401929,-0.0917404842376709,0.14571428578879153
