step,mean_reward,max_reward,min_reward
226599,-445.27299109090904,-2.810691,-1065.128687
228799,-280.68007736363637,-3.201268,-1018.453433
230999,-312.4260100909091,-0.786014,-920.798315
233199,-290.9571307272727,-1.484876,-780.575699
235399,-203.0199396363636,-0.846388,-422.457503
237599,-177.8901049090909,-127.087313,-268.102857
239799,-139.9087902727273,-1.088008,-261.109204
241999,-185.08661954545454,-0.89618,-514.799776
244199,-166.78820963636363,-2.153649,-392.871792
246399,-260.34410954545456,-120.084563,-412.238873
248599,-219.5316336363636,-129.124027,-366.576349
250799,-197.2075029090909,-0.781533,-374.443417
252999,-142.0088159090909,-0.932083,-275.22468
255199,-181.52610454545456,-1.605815,-324.015932
257399,-232.24028836363638,-3.934736,-512.534735
259599,-142.0975730909091,-1.136356,-380.8285
261799,-246.06303018181816,-1.900748,-1036.13939
263999,-218.37357136363633,-0.699664,-387.367457
266199,-305.8150069090909,-8.063257,-1080.016033
268399,-147.958946,-9.994989,-276.78733
270599,-416.4216584545454,-6.829564,-1057.462769
272799,-240.55212454545455,-127.063136,-412.695807
274999,-191.7643309090909,-4.881859,-270.716417
277199,-143.54445636363636,-3.447901,-268.999464
279399,-141.00177563636365,-3.524669,-382.176822
281599,-227.9722896363636,-6.448505,-722.940247
