time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/clip_fraction
451,124928,200,276,61,-1050.49458,0.742468297,0.0003,-1.125304336,600,0.2,-0.000737685,325.0803223,3.81E-06,789.8716863,0.00392201,0.021875
450,126976,200,281,62,-1047.925814,0.741424024,0.0003,-1.121105434,610,0.2,-0.002152393,353.2677917,2.56E-06,884.469416,0.002452967,0.019433594
450,129024,200,286,63,-1034.152945,0.73781985,0.0003,-1.11617424,620,0.2,-0.00046021,231.4864349,4.05E-06,565.9293832,0.003839875,0.043701172
452,131072,200,289,64,-1017.29344,0.729258239,0.0003,-1.107188928,630,0.2,0.002814355,293.9459839,7.15E-06,610.7026968,0.005273887,0.106542969
452,133120,200,294,65,-1008.406767,0.72989428,0.0003,-1.10337944,640,0.2,-0.001778998,281.9945374,0.212226093,557.5584684,0.004928077,0.022607422
452,135168,200,298,66,-992.6247031,0.729936004,0.0003,-1.104279448,650,0.2,-0.002690278,137.8109436,0.347859681,515.8210958,0.003434429,0.02109375
454,137216,200,302,67,-995.8679765,0.728941321,0.0003,-1.10332689,660,0.2,-0.003661516,407.7310486,0.381448984,972.3622364,0.004830569,0.041357422
453,139264,200,306,68,-994.764979,0.723935187,0.0003,-1.099029903,670,0.2,-0.00413831,230.822998,0.612785518,405.0613917,0.005574468,0.050927734
453,141312,200,311,69,-988.2501735,0.721550524,0.0003,-1.094532489,680,0.2,-0.001191796,159.8078003,0.577231735,333.2558004,0.001752687,0.021191406
453,143360,200,315,70,-988.1120325,0.720651031,0.0003,-1.09205654,690,0.2,-0.002212311,118.2164917,0.541315258,304.8383932,0.005544385,0.033056641
453,145408,200,320,71,-964.376396,0.712545872,0.0003,-1.085804131,700,0.2,-0.002984868,151.3372803,0.715812027,303.2223937,0.004016528,0.039013672
453,147456,200,325,72,-968.1114091,0.713663757,0.0003,-1.081054949,710,0.2,-0.002880896,44.54206085,0.668887049,161.8510718,0.005601569,0.047705078
453,149504,200,329,73,-970.9825233,0.704159379,0.0003,-1.075415028,720,0.2,-0.004448017,103.2691727,0.73069787,214.7219758,0.007611112,0.068701172
455,151552,200,332,74,-966.7124094,0.692339122,0.0003,-1.059674466,730,0.2,-0.005877694,154.0503845,0.691873133,320.1299856,0.004999552,0.042431641
455,153600,200,337,75,-962.2067452,0.68850255,0.0003,-1.04874251,740,0.2,-0.003226514,120.9424438,0.702871203,244.5454555,0.004792673,0.051416016
455,155648,200,341,76,-937.4403505,0.680814207,0.0003,-1.040327853,750,0.2,-0.003411927,130.0879059,0.739402443,224.5480722,0.005454304,0.042626953
455,157696,200,346,77,-932.0771099,0.680431306,0.0003,-1.034298944,760,0.2,-0.002008298,120.3130798,0.727980196,276.973467,0.001913702,0.026757813
454,159744,200,351,78,-933.2426709,0.674134493,0.0003,-1.029768123,770,0.2,-0.002383975,130.4089813,0.710048199,317.7041773,0.004056946,0.028662109
454,161792,200,355,79,-931.3280031,0.671134114,0.0003,-1.021645613,780,0.2,-0.001419232,115.6766663,0.759458765,251.7139844,0.004031234,0.033203125
454,163840,200,360,80,-929.7177125,0.680542886,0.0003,-1.026916993,790,0.2,-0.001813139,124.5705948,0.715767503,391.9032556,0.004055142,0.037304688
454,165888,200,364,81,-931.6044355,0.672036529,0.0003,-1.027564196,800,0.2,-0.003297109,165.5689545,0.698208064,291.3469851,0.005145323,0.035791016
454,167936,200,369,82,-927.0921799,0.661393523,0.0003,-1.011791305,810,0.2,-0.004145084,100.0286942,0.75609161,223.8604298,0.004917053,0.048388672
454,169984,200,374,83,-914.1934022,0.664188147,0.0003,-1.007295853,820,0.2,-0.002958765,65.52631378,0.818625435,185.5740014,0.004404553,0.047167969
454,172032,200,378,84,-913.9820503,0.680449963,0.0003,-1.021234969,830,0.2,-0.00696188,159.8582458,0.814619124,282.5979738,0.00442498,0.040380859
454,174080,200,383,85,-905.6393727,0.678676248,0.0003,-1.032435342,840,0.2,-0.004109562,119.2889023,0.826680973,209.6738026,0.00564641,0.065917969
454,176128,200,387,86,-902.6533442,0.674232721,0.0003,-1.028017471,850,0.2,-0.003141429,170.3821564,0.840159282,260.3360992,0.005765575,0.035400391
453,178176,200,392,87,-884.3748189,0.671167076,0.0003,-1.022706654,860,0.2,-0.002601104,131.3504181,0.818842068,223.4940698,0.004101828,0.044433594
453,180224,200,397,88,-874.3229743,0.67015022,0.0003,-1.018254479,870,0.2,-0.00330163,61.8223114,0.882126272,124.8992578,0.006823852,0.051513672
453,182272,200,402,89,-857.1258357,0.668681681,0.0003,-1.01734495,880,0.2,-0.00272485,94.66030121,0.860946611,157.6910504,0.007442565,0.077392578
453,184320,200,406,90,-838.7738538,0.672546804,0.0003,-1.01971737,890,0.2,-0.002828036,115.0580368,0.88476342,210.7370276,0.007119056,0.054882813
452,186368,200,411,91,-826.8118678,0.659535408,0.0003,-1.011030552,900,0.2,-0.006653073,73.36881256,0.895143867,163.7055741,0.006904644,0.075048828
452,188416,200,416,92,-811.4036679,0.649653554,0.0003,-0.995360587,910,0.2,-0.006821231,133.5373993,0.864253134,253.5521824,0.006750885,0.05703125
452,190464,200,421,93,-805.4956825,0.652461886,0.0003,-0.987656607,920,0.2,-0.008234624,85.02721405,0.912858263,202.2742308,0.008126234,0.087207031
452,192512,200,425,94,-780.617821,0.641060472,0.0003,-0.981481706,930,0.2,-0.008795375,105.7465973,0.920819908,230.7814767,0.005664451,0.066162109
452,194560,200,430,95,-756.0647175,0.635371029,0.0003,-0.969734409,940,0.2,-0.003778948,75.5137558,0.915422574,201.2989788,0.005764786,0.04453125
451,196608,200,435,96,-728.1947407,0.623353302,0.0003,-0.953992126,950,0.2,-0.00700044,68.25993347,0.907009065,161.366183,0.010960843,0.101269531
451,198656,200,439,97,-700.0762293,0.617185831,0.0003,-0.93984602,960,0.2,-0.007640899,128.7945709,0.908591628,191.3109074,0.008278417,0.084423828
451,200704,200,444,98,-669.0741715,0.60914892,0.0003,-0.93047122,970,0.2,-0.011514673,74.5485611,0.925307579,175.9960705,0.014845353,0.101025391
451,202752,200,448,99,-635.6872078,0.604509175,0.0003,-0.919146986,980,0.2,-0.00944329,112.5836563,0.92250292,299.927815,0.008696174,0.084667969
451,204800,200,453,100,-613.9458176,0.595350146,0.0003,-0.906503238,990,0.2,-0.014589516,103.550354,0.951133423,252.6524833,0.011791047,0.14765625
451,206848,200,457,101,-559.751224,0.597231984,0.0003,-0.900567694,1000,0.2,-0.004310159,113.3508987,0.897716418,324.8839845,0.003638946,0.054638672
451,208896,200,462,102,-511.4417758,0.602892101,0.0003,-0.91005331,1010,0.2,-0.007450619,85.27276611,0.954448991,234.1906796,0.00628636,0.070996094
451,210944,200,467,103,-469.724352,0.613260627,0.0003,-0.91949352,1020,0.2,-0.006669048,65.65381622,0.908823594,288.0979355,0.004236785,0.048339844
451,212992,200,472,104,-426.2049182,0.614155531,0.0003,-0.93080408,1030,0.2,-0.006176806,127.6352081,0.946529787,312.2890524,0.004306516,0.069677734
450,215040,200,477,105,-385.3401221,0.584495127,0.0003,-0.904710809,1040,0.2,-0.001941921,18.78805542,0.951282188,69.73003617,0.008109676,0.105322266
450,217088,200,481,106,-373.3691872,0.583858252,0.0003,-0.88165354,1050,0.2,-0.007816829,104.2492752,0.94693318,138.0329571,0.006929779,0.080078125
450,219136,200,486,107,-338.8251447,0.577885926,0.0003,-0.875906766,1060,0.2,-0.001463165,48.94286346,0.976905646,118.5138235,0.002011981,0.056738281
450,221184,200,491,108,-300.7421405,0.568425775,0.0003,-0.863467301,1070,0.2,-0.002247886,37.53604889,0.963378616,64.51465238,0.003863729,0.046679688
449,223232,200,496,109,-266.6023123,0.556137741,0.0003,-0.843523772,1080,0.2,-0.002223557,6.827352524,0.989299282,31.6217172,0.007027836,0.099511719
449,225280,200,500,110,-234.9898068,0.535396039,0.0003,-0.812260661,1090,0.2,0.002630185,2.100920916,0.983869068,14.67686376,0.005977388,0.133007813
449,227328,200,505,111,-231.8389465,0.529095054,0.0003,-0.788031675,1100,0.2,0.000956541,9.295534134,0.98836746,35.14393401,0.004063891,0.056005859
449,229376,200,509,112,-222.6701612,0.51361239,0.0003,-0.764021102,1110,0.2,0.000772725,3.790079594,0.984454674,24.27142648,0.005719683,0.063574219
449,231424,200,514,113,-219.0854756,0.515825391,0.0003,-0.753851455,1120,0.2,-0.003602377,33.23944092,0.938791048,84.84545707,0.004779155,0.034326172
449,233472,200,519,114,-218.8406255,0.51617384,0.0003,-0.756513269,1130,0.2,-0.002143972,24.70630646,0.989400957,29.99794526,0.005064809,0.072119141
449,235520,200,524,115,-213.3979497,0.509675145,0.0003,-0.751888994,1140,0.2,0.002556975,21.26566505,0.986427501,25.20029759,0.01108825,0.059326172
449,237568,200,528,116,-201.6114599,0.515894949,0.0003,-0.751138788,1150,0.2,-4.68E-05,4.130987644,0.990015838,22.62420448,0.008365995,0.097314453
449,239616,200,533,117,-206.5382877,0.51550895,0.0003,-0.75798853,1160,0.2,0.000779728,25.44834518,0.975077642,44.82339377,0.00448244,0.055566406
449,241664,200,537,118,-209.6545685,0.511325955,0.0003,-0.753101134,1170,0.2,-0.003453501,2.20033741,0.987950471,27.22683034,0.008639324,0.062451172
449,243712,200,542,119,-219.3800536,0.504172146,0.0003,-0.73921097,1180,0.2,-0.004161568,13.5394392,0.991377781,25.4339916,0.007959762,0.059228516
449,245760,200,546,120,-217.9666454,0.502410531,0.0003,-0.731184509,1190,0.2,-0.006325265,9.252480507,0.988192193,24.7854482,0.004553651,0.067626953
449,247808,200,551,121,-221.3584568,0.492181271,0.0003,-0.719000992,1200,0.2,-0.000760596,2.419332027,0.988073608,22.08521838,0.004888341,0.080126953
449,249856,200,555,122,-225.2631754,0.487238199,0.0003,-0.703591409,1210,0.2,-0.003506302,7.461209774,0.979945166,57.78051695,0.007297571,0.060693359
449,251904,200,560,123,-224.787537,0.48825404,0.0003,-0.700866771,1220,0.2,-0.001949961,23.16996193,0.854868621,119.4962924,0.003349829,0.028613281
450,253952,200,564,124,-229.2865578,0.496875614,0.0003,-0.710905945,1230,0.2,-0.002445342,45.37822723,0.960877996,127.0081199,0.002827157,0.036230469
449,256000,200,569,125,-229.9241695,0.490630656,0.0003,-0.714855573,1240,0.2,0.000806868,66.25261688,0.971799856,80.20996455,0.009507126,0.067578125
449,258048,200,573,126,-222.9891379,0.491216421,0.0003,-0.709225171,1250,0.2,0.000192777,10.81592083,0.986009502,17.11157601,0.003945109,0.081494141
449,260096,200,578,127,-215.9193892,0.481534898,0.0003,-0.698281916,1260,0.2,0.006252716,1.318120599,0.992626551,4.555255947,0.005207644,0.139697266
449,262144,200,583,128,-217.7306095,0.479465365,0.0003,-0.685046816,1270,0.2,0.005106623,0.551606119,0.995499909,3.678817427,0.006788252,0.099072266
449,264192,200,588,129,-220.4794896,0.475898713,0.0003,-0.679730424,1280,0.2,-0.000669363,1.830350757,0.974007493,35.20825224,0.009329246,0.034179688
449,266240,200,592,130,-216.2975128,0.47071588,0.0003,-0.670376975,1290,0.2,-0.004124881,2.253682613,0.986045179,18.43094079,0.00947742,0.079492188
449,268288,200,597,131,-213.6112472,0.480088592,0.0003,-0.67304549,1300,0.2,0.006590726,0.647744238,0.989957759,4.491948691,0.013190656,0.097265625
449,270336,200,601,132,-199.6542518,0.482528925,0.0003,-0.687655329,1310,0.2,-0.002737608,1.240340948,0.981777998,17.93362791,0.004769522,0.056494141
449,272384,200,605,133,-202.1732851,0.485950589,0.0003,-0.693264439,1320,0.2,-0.002702668,5.860036373,0.98571575,9.777003694,0.005302988,0.063671875
449,274432,200,610,134,-195.4607925,0.486284852,0.0003,-0.696259107,1330,0.2,-0.000943591,4.753386497,0.985467901,34.87016922,0.002572305,0.018994141
449,276480,200,615,135,-204.5823281,0.4917835,0.0003,-0.707993025,1340,0.2,-0.004757911,2.381728172,0.994426392,4.793436363,0.004903463,0.096240234
449,278528,200,619,136,-199.4318498,0.495336711,0.0003,-0.713651291,1350,0.2,-0.003298903,5.782419205,0.993226386,15.75975097,0.004372442,0.061572266
449,280576,200,624,137,-204.5628533,0.48227492,0.0003,-0.705427225,1360,0.2,0.005115536,0.284470379,0.986727164,2.327389303,0.017312149,0.100976563
449,282624,200,628,138,-197.7824168,0.482590228,0.0003,-0.688758639,1370,0.2,-0.004838317,1.266869545,0.99454674,6.238806663,0.009665683,0.179150391
449,284672,200,633,139,-216.4887865,0.477899879,0.0003,-0.686414082,1380,0.2,0.000370261,0.864715159,0.994390644,7.687594129,0.009891263,0.096484375
449,286720,200,638,140,-225.8290386,0.477265,0.0003,-0.679209423,1390,0.2,-0.003443012,30.04400826,0.909154065,245.268189,0.002239799,0.021777344
449,288768,200,642,141,-225.5620416,0.473840088,0.0003,-0.676297065,1400,0.2,-0.001063521,2.805721045,0.983450726,14.49342599,0.007223499,0.083496094
449,290816,200,646,142,-233.7783352,0.47127375,0.0003,-0.670745598,1410,0.2,-0.001531581,2.828080654,0.994142951,8.910947308,0.004056801,0.052392578
449,292864,200,651,143,-232.284746,0.46888876,0.0003,-0.66261098,1420,0.2,-0.000822105,17.79214668,0.990653956,28.02171181,0.002383691,0.024365234
449,294912,200,656,144,-229.0119266,0.470339626,0.0003,-0.662456078,1430,0.2,-0.007001348,28.36880875,0.966042601,56.45291386,0.006390364,0.064648438
449,296960,200,660,145,-224.369897,0.465395182,0.0003,-0.658993195,1440,0.2,-0.007045461,2.373129368,0.987992845,23.61544179,0.008092634,0.066894531
450,299008,200,663,146,-227.8688416,0.454063743,0.0003,-0.643805076,1450,0.2,0.001336727,0.52015686,0.982392717,6.292823582,0.007147092,0.087939453
450,301056,200,668,147,-224.072273,0.452727586,0.0003,-0.624842346,1460,0.2,0.00119786,0.77460283,0.989977535,3.863792736,0.016526984,0.133349609
450,303104,200,673,148,-215.8728115,0.445184261,0.0003,-0.618495703,1470,0.2,-2.39E-05,1.473971367,0.990516811,13.06248074,0.006246029,0.108300781
450,305152,200,677,149,-201.6506403,0.445006311,0.0003,-0.611172109,1480,0.2,0.000842393,0.794084787,0.979163354,7.042033273,0.01762025,0.108837891
450,307200,200,682,150,-191.8023186,0.441849351,0.0003,-0.605901283,1490,0.2,-0.001570044,5.22415638,0.988502858,13.85289444,0.003114167,0.072167969
450,309248,200,686,151,-194.1069772,0.436611235,0.0003,-0.596739255,1500,0.2,-0.001189632,0.945527196,0.988387012,4.975919484,0.018407878,0.082617188
450,311296,200,691,152,-192.1053364,0.435961217,0.0003,-0.589805546,1510,0.2,-0.001610929,31.05201149,0.89039477,152.3465555,0.003457351,0.02109375
450,313344,200,695,153,-190.2078947,0.436871916,0.0003,-0.589109291,1520,0.2,0.000530539,3.843642235,0.97619601,14.58926199,0.01291587,0.090722656
450,315392,200,700,154,-190.6163512,0.437521249,0.0003,-0.591691723,1530,0.2,-0.003594754,17.32326126,0.966082085,87.38212751,0.00316847,0.038037109
450,317440,200,705,155,-191.0550423,0.439733893,0.0003,-0.594521627,1540,0.2,-0.001446236,8.753454208,0.981857557,14.80953074,0.005514366,0.069726563
449,319488,200,709,156,-189.4479696,0.436604172,0.0003,-0.594481974,1550,0.2,0.005902078,1.702582359,0.985121394,6.855388125,0.008934061,0.091552734
449,321536,200,714,157,-192.7452334,0.431814343,0.0003,-0.584616088,1560,0.2,0.001046361,6.102178097,0.98152736,17.07590346,0.00530428,0.063427734
449,323584,200,719,158,-208.7176986,0.414722264,0.0003,-0.559002003,1570,0.2,0.00462901,0.555430412,0.993863805,1.917656555,0.015446492,0.09921875
449,325632,200,724,159,-212.7442021,0.414549112,0.0003,-0.538378985,1580,0.2,-6.53E-05,174.0451355,0.787247971,330.7336193,0.004659922,0.090283203
449,327680,200,728,160,-205.6595836,0.414771914,0.0003,-0.538551152,1590,0.2,-0.004375268,218.601059,0.913660444,262.5580675,0.002077898,0.017236328
449,329728,200,733,161,-208.339922,0.413351536,0.0003,-0.538156921,1600,0.2,0.00237982,52.80708694,0.926872171,35.23645721,0.003411144,0.042773438
449,331776,200,737,162,-203.7439266,0.414886802,0.0003,-0.537016779,1610,0.2,-0.002539638,65.88452911,0.961979941,64.19312111,0.001928246,0.045654297
450,333824,200,741,163,-188.8199296,0.417323977,0.0003,-0.543609086,1620,0.2,0.00500931,4.755146027,0.975565853,8.324733979,0.014621208,0.150634766
450,335872,200,744,164,-199.5590092,0.424284995,0.0003,-0.552920766,1630,0.2,0.005303923,0.580944896,0.99209062,3.322699512,0.008232262,0.146044922
450,337920,200,749,165,-199.0863147,0.423752278,0.0003,-0.561316967,1640,0.2,-0.002240539,2.833529472,0.985485095,10.21252421,0.005689373,0.055859375
450,339968,200,753,166,-197.6690292,0.420787185,0.0003,-0.557263432,1650,0.2,-0.000451627,6.969711304,0.982698552,12.20572562,0.002762239,0.113769531
450,342016,200,758,167,-196.0917055,0.43083775,0.0003,-0.564905991,1660,0.2,-0.002499187,1.357634187,0.99664974,1.385013044,0.007709513,0.089453125
450,344064,200,763,168,-174.8740453,0.437255114,0.0003,-0.582767688,1670,0.2,-0.001649328,0.631776452,0.992557648,8.52117104,0.009226546,0.083007813
450,346112,200,767,169,-177.3281514,0.438683122,0.0003,-0.593166754,1680,0.2,-0.00238214,94.28335571,0.878515489,103.0856584,0.002506055,0.050732422
450,348160,200,772,170,-186.3172143,0.440278858,0.0003,-0.596366309,1690,0.2,-0.002719299,20.74512672,0.969692349,27.75655673,0.00476168,0.036572266
450,350208,200,776,171,-195.9281605,0.44460848,0.0003,-0.600842072,1700,0.2,0.003680935,1.069042087,0.995653503,3.38392635,0.009074421,0.1390625
