,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",110000,0.034203,200.0,11,-1116.378804,-1469.194159,-903.265701,197.87142
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",112200,0.03485,200.0,11,-1035.712629,-1317.741839,-778.894783,139.512511
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",114400,0.035449,200.0,11,-1056.784333,-1644.89288,-873.992133,203.329708
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",116600,0.037283,200.0,11,-1050.050998,-1652.088373,-771.559361,218.681989
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",118800,0.035646,200.0,11,-1037.016453,-1299.941578,-897.689825,133.0286
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",121000,0.033723,200.0,11,-1038.663359,-1338.509775,-887.11814,140.766175
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",123200,0.034017,200.0,11,-1056.123987,-1472.290534,-809.152694,186.136793
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",125400,0.034095,200.0,11,-1076.515996,-1555.203668,-766.255428,219.219856
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",127600,0.035377,200.0,11,-1108.038403,-1494.9728,-898.663124,175.706583
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",129800,0.036098,200.0,11,-1086.204122,-1405.926331,-881.985649,138.996454
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",132000,0.033928,200.0,11,-1136.687733,-1559.720912,-804.438389,229.784042
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",134200,0.033682,200.0,11,-1067.952306,-1385.465044,-773.450018,149.326729
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",136400,0.033746,200.0,11,-1025.942727,-1536.215887,-870.100422,171.076838
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",138600,0.033875,200.0,11,-1004.424726,-1499.352484,-765.42481,225.846228
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",140800,0.036836,200.0,11,-983.908784,-1369.495795,-764.240473,165.470625
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",143000,0.03553,200.0,11,-1004.302156,-1401.279975,-766.291305,212.99924
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",145200,0.034264,200.0,11,-1038.554298,-1373.470849,-760.895644,184.380408
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",147400,0.034073,200.0,11,-1040.559775,-1563.367009,-768.121333,213.016327
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",149600,0.034212,200.0,11,-1094.972339,-1619.730174,-876.461106,258.015189
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",151800,0.034356,200.0,11,-1085.256509,-1761.290293,-719.135669,308.40473
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",154000,0.036824,200.0,11,-1077.496407,-1329.465145,-887.121857,147.799585
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",156200,0.035398,200.0,11,-1017.364539,-1390.987679,-766.792892,182.513175
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",158400,0.040263,200.0,11,-1022.115004,-1192.325751,-769.442081,116.176422
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",160600,0.034948,200.0,11,-924.855769,-1052.902412,-751.462232,101.029716
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",162800,0.034903,200.0,11,-995.765847,-1432.649091,-660.076507,185.83211
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",165000,0.036559,200.0,11,-1018.100895,-1592.641962,-872.63782,198.188784
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",167200,0.036506,200.0,11,-1018.262232,-1247.93238,-764.671475,160.422378
